,Car Model,Year of Production,Engine Volume,Mileage,Fuel,Gearbox Mechanism,Steering Wheel Location,Color,Body Type,Location,Price in USD
135,BMW 5 серии,2012,2.0,218000.0, бензин, автомат,руль слева,серебристый,седан,Бишкек,17500
136,BMW 5 серии,2018,2.0,150000.0, дизель, автомат,руль слева,синий,седан,Бишкек,24000
137,BMW 3 серии,1998,1.9,270000.0, бензин, автомат,руль слева,белый,седан,Бишкек,5166
138,BMW X5,2004,3.0,280000.0, дизель, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,14500
139,BMW X2,2024,2.0,, бензин, робот,руль слева,серый,внедорожник 5 дв.,Китай,48900
140,BMW X6 M,2024,4.4,1.0, бензин, автомат,руль слева,красный,внедорожник 5 дв.,ОАЭ,182000
141,BMW M8,2022,4.4,7968.0, бензин, автомат,руль слева,серый,купе,ОАЭ,113000
142,BMW X3,2024,3.0,, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Китай,51000
143,BMW X1,2024,2.0,1.0, бензин, робот,руль слева,серый,внедорожник 5 дв.,Бишкек,38349
144,BMW 2 серии Active Tourer,2020,2.0,50000.0, дизель, автомат,руль слева,белый,компактвэн,Ош,17500
145,BMW X5,2012,3.0,300000.0, дизель, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,25500
146,BMW 4 серии,2021,2.0,18850.0, дизель, автомат,руль слева,белый,купе,Южная,52800
147,BMW X6,2023,3.0,26.0, дизель, автомат,руль слева,синий,внедорожник 5 дв.,Бишкек,130000
148,BMW X5,2015,3.0,145000.0, бензин, автомат,руль слева,бежевый,внедорожник 5 дв.,Бишкек,24900
149,BMW XM,2023,4.4,10.0, гибрид, автомат,руль слева,черный,внедорожник 5 дв.,Южная,208000
150,BMW M5,2021,4.4,46999.0, бензин, автомат,руль слева,синий,седан,Южная,98000
151,BMW M4,2021,3.0,18000.0, бензин, автомат,руль слева,серый,купе,Южная,82000
152,BMW X5,2019,3.0,153000.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,Бишкек,52000
153,BMW 5 серии,2023,2.0,5.0, бензин, автомат,руль слева,черный,седан,Южная,84800
154,BMW 7 серии,2024,3.0,248.0, дизель, автомат,руль слева,серый,седан,Южная,117234
155,BMW X6,2021,3.0,40700.0, бензин, автомат,руль слева,синий,внедорожник 5 дв.,Южная,75000
156,BMW X6,2022,3.0,4653.0, дизель, автомат,руль слева,серый,внедорожник 5 дв.,Южная,118000
157,BMW 7 серии,2023,3.0,7657.0, бензин, автомат,руль слева,серый,седан,Южная,116000
158,BMW 5 серии,2018,2.0,138860.0, бензин, автомат,руль слева,серый,седан,Южная,26000
159,BMW X5,2019,3.0,106000.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,66000
160,BMW 5 серии,2018,2.0,106500.0, дизель, автомат,руль слева,белый,седан,Бишкек,28500
161,BMW 7 серии,2022,3.0,4114.0, бензин, автомат,руль слева,бежевый,седан,Южная,104100
162,BMW 5 серии,2018,2.0,159000.0, дизель, автомат,руль слева,белый,седан,Бишкек,23500
163,BMW 5 серии,2019,2.0,41277.0, бензин, автомат,руль слева,серый,седан,Южная,30200
164,BMW X5 M,2023,4.4,, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Южная,181300
165,BMW X6,2023,3.0,, дизель, автомат,руль слева,синий,внедорожник 5 дв.,Южная,128000
166,BMW X5,2019,3.0,144000.0, дизель, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,58800
167,BMW 5 серии,2017,2.0,144000.0, дизель, автомат,руль слева,белый,седан,Бишкек,28800
168,BMW X5,2002,4.4,228000.0, бензин, автомат,руль слева,серый,внедорожник 5 дв.,Бишкек,11500
169,BMW X5,2023,3.0,, дизель, автомат,руль слева,коричневый,внедорожник 5 дв.,Южная,126000
170,BMW M5,2020,4.4,74007.0, бензин, автомат,руль слева,черный,седан,Южная,77600
171,BMW X7,2020,3.0,28228.0, дизель, автомат,руль слева,синий,внедорожник 5 дв.,Южная,105000
172,BMW X5,2023,3.0,100.0, дизель, автомат,руль слева,белый,внедорожник 5 дв.,Южная,125700
173,BMW X5,2020,3.0,50000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,74000
174,BMW 6 серии,2018,3.0,173000.0, дизель, автомат,руль слева,серый,лифтбек,Южная,28515
175,BMW i4,2023,,7000.0, электро, автомат,руль слева,серебристый,лифтбек,Южная,57000
176,BMW X6,2023,3.0,, дизель, автомат,руль слева,белый,внедорожник 5 дв.,Южная,130400
177,BMW X7,2023,3.0,16552.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Южная,126000
178,BMW X7,2023,3.0,12000.0, дизель, автомат,руль слева,черный,внедорожник 5 дв.,Южная,125000
179,BMW X6,2008,4.4,161000.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,25000
180,BMW X1,2023,2.0,180.0, дизель, робот,руль слева,черный,внедорожник 5 дв.,Южная,48754
181,BMW X1,2021,2.0,28000.0, дизель, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,30000
182,BMW X3,2024,2.0,10.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Бишкек,60000
183,BMW X3,2024,2.0,10.0, бензин, автомат,руль слева,черный,внедорожник 5 дв.,Бишкек,58000
184,BMW X7,2023,4.4,7011.0, бензин, автомат,руль слева,белый,внедорожник 5 дв.,Южная,162000
185,BMW 5 серии,2022,2.0,9588.0, бензин, автомат,руль слева,синий,седан,Южная,44143
186,BMW 5 серии,2024,2.0,18000.0, бензин, автомат,руль слева,синий,седан,Южная,47000
187,BMW X5,2023,3.0,, дизель, автомат,руль слева,белый,внедорожник 5 дв.,Южная,129100
188,BMW M3,2023,3.0,7850.0, бензин, автомат,руль слева,черный,седан,Южная,106900
189,BMW 3 серии,2023,2.0,1592.0, дизель, автомат,руль слева,серый,универсал,Южная,43000
190,BMW 5 серии,2024,2.0,10.0, бензин, автомат,руль слева,черный,седан,Бишкек,77000
191,BMW X2,2024,2.0,10.0, бензин, робот,руль слева,серый,внедорожник 5 дв.,Бишкек,53800
192,BMW X1,2024,2.0,10.0, бензин, робот,руль слева,белый,внедорожник 5 дв.,Бишкек,49500
193,BMW X6,2023,3.0,, дизель, автомат,руль слева,черный,внедорожник 5 дв.,Южная,130800
